	Clostridium_innocuum_I46	Bifidobacterium_animalis_YL2	In	InAmount	Out	OutAmount	All	AllAmount
2-Oxoglutarate-e0-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
5'-Deoxyadenosine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
5-Methylthio-D-ribose-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Acetate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
Biotin	0.0	0.0		0		0		0
CO2-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Ca2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl--e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Co2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Cytosine	0.0	0.0		0		0		0
D-Glucose-e0	3.035793838535028e-12	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
D-Lactate-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
D-Mannose-e0	3.222699884730673e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Ethanol-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Fe2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Folate	0.0	-1.898980972470099e-12	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Folate-e0	6.854516954035716e-13	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Fumarate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Galactose-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycerol-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Glycine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Glycolaldehyde-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
H2O-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
H2S-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
K+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Alanine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Arginine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Aspartate-e0	-7.940870183631432e-14	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Cysteine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Glutamine-e0	-1.4098860967592941e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Histidine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Isoleucine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Lysine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Malate-e0	0.0	0.0		0		0		0
L-Methionine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Phenylalanine	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Phenylalanine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Proline-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Serine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Threonine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
L-Tryptophan	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Tryptophan-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Tyrosine	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Tyrosine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Valine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	0.0	-4.68142885567957e-13	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Mn2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	1.57862611871451e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
N-Acetyl-D-glucosamine-e0	18.117340654594024	0.0	Clostridium_innocuum_I46	1	Clostridium_innocuum_I46	1	Clostridium_innocuum_I46Clostridium_innocuum_I46	2
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NAD-e0-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
NH3-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Na+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Niacin	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Nickel	0.0	0.0		0		0		0
O2-e0	-1.2867346077527486e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	0.0		0		0		0
Putrescine-e0	0.0	-1.2796578033325012e-13	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	0.0	0.0		0		0		0
Riboflavin	-2.7938762414692064e-12	96.79614651724023	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2	Bifidobacterium_animalis_YL2	1	Bifidobacterium_animalis_YL2Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	3
Selenium	0.0	0.0		0		0		0
Spermidine-e0	-5.563327576396659e-13	-4.0659836608725186e-13	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Sucrose-e0	0.0	-4.601904794732103e-13	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Sulfate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Thiamin-e0	0.0	-1.933397886233479e-12	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Uracil-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Zn2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2		0	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	2
lactate	0.0	0.0		0		0		0
