	Limosilactobacillus_reuteri_I49	Enterocloster_clostridioformis_YL32	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
5-Methylthio-D-ribose-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Acetate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
CO2-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Ca2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Cl--e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Cytosine	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Cytosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	-9.197476114053416e-12	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
D-Lactate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
D-Mannitol-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
D-Mannose-e0	-7.817718694624887e-12	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Fe2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Folate-e0	67.78185428344203	2.5707769246707812e-12	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	3
Fumarate-e0	0.0	4.4197631665632287e-13	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Galactose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Glycolate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
H2O-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Hemin	0.0	0.0		0		0		0
Homocysteine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Inosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Alanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	-2.1422141838201014e-11	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Aspartate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Cysteine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Glutamine-e0	-1.6088921861445726e-11	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Histidine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Isoleucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Lysine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	-8.595294614943683e-13	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Methionine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Phenylalanine	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Phenylalanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Serine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Threonine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Tryptophan	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Tryptophan-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Valine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	-5.760802945786736e-11	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Mn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	-5.861977570020827e-14	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Na+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Neu5Ac-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Nickel	0.0	0.0		0		0		0
O2-e0	8.359105074795536e-12	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	126.68907411981495	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32	1	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	-6.853892453584365e-14	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Putrescine-e0	2.922201369770505e-11	1.3610362836757872e-12	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	-8.600033879480051e-12	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin	203.3455628506295	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0		0		0		0
Spermidine-e0	-4.611283577204972e-12	1.7283119380095968e-12	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Sucrose	-3.485889354948313e-11	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Thiamin-e0	0.0	-9.54458734270247e-13	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Thiamine	135.56370856698473	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Uracil-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Urea-e0	-1.2468692744960208e-11	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Zn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
fucose	0.0	0.0		0		0		0
